patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,20,100,0.19538,0.20816
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,50,250,0.190267,0.191507
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,100,500,0.18847,0.19234
8,1,raw,raw patches,unseen,modulation,2,10,0.174277,0.196503
8,1,raw,raw patches,unseen,modulation,5,25,0.186666,0.196503
8,1,raw,raw patches,unseen,modulation,10,50,0.190644,0.19234
8,1,raw,raw patches,unseen,modulation,20,100,0.180922,0.183181
8,1,raw,raw patches,unseen,modulation,50,250,0.226552,0.228976
8,1,raw,raw patches,unseen,modulation,100,500,0.206231,0.226478
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,2,10,0.190053,0.190674
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,5,25,0.240564,0.241465
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,10,50,0.283694,0.273106
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,20,100,0.285891,0.281432
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,50,250,0.278852,0.273106
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,100,500,0.293526,0.287261
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,2,10,0.184396,0.186511
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,5,25,0.203726,0.205662
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,10,50,0.200761,0.202331
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,20,100,0.19484,0.199001
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,50,250,0.219464,0.219817
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,100,500,0.18576,0.204829
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,2,42,0.092361,0.111574
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,5,105,0.02234,0.086595
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,10,210,0.106084,0.114904
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,20,420,0.1089,0.120733
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,50,1050,0.154309,0.159867
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,100,2100,0.215948,0.223147
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,2,42,0.075043,0.084929
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,5,105,0.085558,0.101582
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,10,210,0.104765,0.11657
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,20,420,0.141459,0.146545
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,50,1050,0.211746,0.220649
8,1,mamba,LWM Mamba (pretrained),unseen,snr_doppler,100,2100,0.273891,0.288093
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,2,42,0.118,0.134055
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,5,105,0.158305,0.162365
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,10,210,0.13128,0.159034
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,20,420,0.179913,0.17985
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,50,1050,0.21201,0.218152
8,1,mobilenet_v3_small,"MobileNetV3-S (frozen, param-matched)",unseen,snr_doppler,100,2100,0.311521,0.309742
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,2,42,0.05958,0.067444
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,5,105,0.0535,0.059117
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,10,210,0.074797,0.082431
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,20,420,0.073195,0.084929
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,50,1050,0.108098,0.138218
8,1,random_init_mambarand,Mamba (random init),unseen,snr_doppler,100,2100,0.143524,0.150708
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,2,42,0.069816,0.081599
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,5,105,0.090011,0.094088
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,10,210,0.098153,0.099917
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,20,420,0.150332,0.157369
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,50,1050,0.238796,0.246461
8,1,random_init_tfrand,Transformer (random init),unseen,snr_doppler,100,2100,0.330056,0.329725
8,1,raw,raw patches,unseen,snr_doppler,2,42,0.077579,0.09159
8,1,raw,raw patches,unseen,snr_doppler,5,105,0.1325,0.144047
8,1,raw,raw patches,unseen,snr_doppler,10,210,0.148527,0.159867
8,1,raw,raw patches,unseen,snr_doppler,20,420,0.155006,0.173189
8,1,raw,raw patches,unseen,snr_doppler,50,1050,0.260068,0.263114
8,1,raw,raw patches,unseen,snr_doppler,100,2100,0.270847,0.278102
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,2,42,0.12509,0.128226
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,5,105,0.10338,0.115737
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,10,210,0.137328,0.139883
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,20,420,0.157907,0.162365
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,50,1050,0.168535,0.189009
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,100,2100,0.211267,0.22398
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,2,42,0.108418,0.109908
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,5,105,0.141305,0.138218
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,10,210,0.174351,0.169026
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,20,420,0.273135,0.275604
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,50,1050,0.379804,0.376353
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,100,2100,0.408958,0.406328
