patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,2,42,0.12509,0.128226
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,20,420,0.157907,0.162365
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,5,105,0.10338,0.115737
8,1,resnet18,ResNet-18 (frozen),unseen,snr_doppler,50,1050,0.168535,0.189009
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,2,42,0.077689,0.083264
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,5,105,0.095945,0.104913
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,10,210,0.131415,0.13239
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,20,420,0.201157,0.209825
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,50,1050,0.311441,0.322231
8,1,transformer_synth,LWM Transformer (pretrained),unseen,snr_doppler,100,2100,0.396938,0.398834
