patch,seed,arm,arm_label,eval,task,per_class,n_samples,macro_f1,accuracy
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,20,100,0.20137,0.21149
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,50,250,0.203159,0.205662
8,1,random_init_tfrand,Transformer (random init),unseen,modulation,100,500,0.203397,0.210658
8,1,raw,raw patches,unseen,modulation,2,10,0.174277,0.196503
8,1,raw,raw patches,unseen,modulation,5,25,0.186666,0.196503
8,1,raw,raw patches,unseen,modulation,10,50,0.190464,0.19234
8,1,raw,raw patches,unseen,modulation,20,100,0.180305,0.181515
8,1,raw,raw patches,unseen,modulation,50,250,0.21994,0.22398
8,1,raw,raw patches,unseen,modulation,100,500,0.206147,0.228143
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,2,10,0.190053,0.190674
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,5,25,0.240564,0.241465
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,10,50,0.283694,0.273106
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,20,100,0.285891,0.281432
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,50,250,0.278852,0.273106
8,1,resnet18,ResNet-18 (frozen),unseen,modulation,100,500,0.293526,0.287261
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,2,10,0.163452,0.186511
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,5,25,0.182862,0.189009
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,10,50,0.226007,0.225645
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,20,100,0.216997,0.217319
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,50,250,0.268621,0.266445
8,1,transformer_synth,LWM Transformer (pretrained),unseen,modulation,100,500,0.276677,0.279767
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,2,42,0.089102,0.113239
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,5,105,0.021942,0.084929
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,10,210,0.108483,0.126561
8,1,deepcnn,DeepCNN (end-to-end),unseen,snr_doppler,20,420,0.131936,0.144047
